laureate_id,name,category,year,birth_location,birth_lat,birth_lon,work_location,work_lat,work_lon,notes
medicine_1973_401,Konrad Lorenz,medicine,1973,"Vienna, Austria",48.207646,16.372793,"Seewiesen, Germany",47.9728,11.2356,
medicine_1973_402,Nikolaas Tinbergen,medicine,1973,"the Hague, the Netherlands",52.070359,4.300254,"Oxford, United Kingdom",51.753363,-1.260979,
medicine_1974_403,Albert Claude,medicine,1974,"Longlier, Belgium",49.8554,5.4529,"Louvain, Belgium",50.883029,4.713949,
medicine_1974_404,Christian de Duve,medicine,1974,"Thames Ditton, United Kingdom",51.394806,-0.341306,"New York, NY, USA",40.715758,-74.0113,
medicine_1974_405,George E. Palade,medicine,1974,"Iasi, Romania",47.156108,27.601732,"New Haven, CT, USA",41.307802,-72.932531,
medicine_1975_406,David Baltimore,medicine,1975,"New York, NY, USA",40.715758,-74.0113,"Cambridge, MA, USA",42.374024,-71.107306,
medicine_1975_408,Howard Martin Temin,medicine,1975,"Philadelphia, PA, USA",39.957132,-75.174342,"Madison, WI, USA",43.071835,-89.386688,
medicine_1975_407,Renato Dulbecco,medicine,1975,"Catanzaro, Italy",38.909244,16.588033,"London, United Kingdom",51.510235,-0.120852,
medicine_1976_409,Baruch S. Blumberg,medicine,1976,"New York, NY, USA",40.715758,-74.0113,"Philadelphia, PA, USA",39.957132,-75.174342,
medicine_1976_410,D. Carleton Gajdusek,medicine,1976,"Yonkers, NY, USA",40.941389,-73.864444,"Bethesda, MD, USA",38.984918,-77.093308,
medicine_1977_412,Andrew V. Schally,medicine,1977,"Wilno, Poland",54.687046,25.282911,"New Orleans, LA, USA",29.96205,-90.070258,
medicine_1977_411,Roger Guillemin,medicine,1977,"Dijon, France",47.320903,5.041144,"San Diego, CA, USA",32.7305,-117.166696,
medicine_1977_413,Rosalyn Yalow,medicine,1977,"New York, NY, USA",40.715758,-74.0113,"Bronx, NY, USA",40.845711,-73.870774,
medicine_1978_415,Daniel Nathans,medicine,1978,"Wilmington, DE, USA",39.74413,-75.548713,"Baltimore, MD, USA",39.291586,-76.625305,
medicine_1978_416,Hamilton O. Smith,medicine,1978,"New York, NY, USA",40.715758,-74.0113,"Baltimore, MD, USA",39.291586,-76.625305,
medicine_1978_414,Werner Arber,medicine,1978,"Gränichen, Switzerland",47.363636,8.092984,"Basel, Switzerland",47.560153,7.58788,
medicine_1979_417,Allan M. Cormack,medicine,1979,"Johannesburg, South Africa",-26.205387,28.045515,"Medford, MA, USA",42.418478,-71.10353,
medicine_1979_418,Godfrey N. Hounsfield,medicine,1979,"Newark, United Kingdom",53.0765,-0.81,"London, United Kingdom",51.510235,-0.120852,
medicine_1980_419,Baruj Benacerraf,medicine,1980,"Caracas, Venezuela",10.485229,-66.905482,"Boston, MA, USA",42.36042,-71.05681,
medicine_1980_421,George D. Snell,medicine,1980,"Bradford, MA, USA",42.769444,-71.075833,"Bar Harbor, ME, USA",44.389205,-68.205617,
medicine_1980_420,Jean Dausset,medicine,1980,"Toulouse, France",43.604154,1.442453,"Paris, France",48.860093,2.355954,
medicine_1981_423,David H. Hubel,medicine,1981,"Windsor, ON, Canada",42.296495,-83.025543,"Boston, MA, USA",42.36042,-71.05681,
medicine_1981_422,Roger W. Sperry,medicine,1981,"Hartford, CT, USA",41.763333,-72.685,"Pasadena, CA, USA",34.150071,-118.142111,
medicine_1981_424,Torsten N. Wiesel,medicine,1981,"Uppsala, Sweden",59.858503,17.638748,"Boston, MA, USA",42.36042,-71.05681,
medicine_1982_426,Bengt I. Samuelsson,medicine,1982,"Halmstad, Sweden",56.673985,12.857483,"Stockholm, Sweden",59.325371,18.070794,
medicine_1982_427,John R. Vane,medicine,1982,"Tardebigg, United Kingdom",52.321944,-2.006944,"Beckenham, United Kingdom",51.407881,-0.025575,
medicine_1982_425,Sune K. Bergström,medicine,1982,"Stockholm, Sweden",59.325371,18.070794,"Stockholm, Sweden",59.325371,18.070794,
medicine_1983_428,Barbara McClintock,medicine,1983,"Hartford, CT, USA",41.763333,-72.685,"Cold Spring Harbor, NY, USA",40.871483,-73.457548,
medicine_1984_431,César Milstein,medicine,1984,"Bahia Blanca, Argentina",-38.716667,-62.266667,"Cambridge, United Kingdom",52.194605,0.135092,
medicine_1984_430,Georges J.F. Köhler,medicine,1984,"Munich, Germany",48.134703,11.581995,"Basel, Switzerland",47.560153,7.58788,
medicine_1984_429,Niels K. Jerne,medicine,1984,"London, United Kingdom",51.510235,-0.120852,"Basel, Switzerland",47.560153,7.58788,
medicine_1985_433,Joseph L. Goldstein,medicine,1985,"Sumter, SC, USA",33.956333,-80.395676,"Dallas, TX, USA",32.779831,-96.801627,
medicine_1985_432,Michael S. Brown,medicine,1985,"New York, NY, USA",40.715758,-74.0113,"Dallas, TX, USA",32.779831,-96.801627,
medicine_1986_435,Rita Levi-Montalcini,medicine,1986,"Turin, Italy",45.071277,7.685561,"Rome, Italy",41.902288,12.506464,
medicine_1986_434,Stanley Cohen,medicine,1986,"Brooklyn, NY, USA",40.676379,-73.949819,"Nashville, TN, USA",36.158474,-86.756442,
medicine_1987_436,Susumu Tonegawa,medicine,1987,"Nagoya, Japan",35.180679,136.918749,"Cambridge, MA, USA",42.374024,-71.107306,
